Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
9384,Storm Syndicate,PS5,2013.0,Simulation,NetherRealm Studios,0.21,0.17,0.07,0.24,0.69,50.0,5.3
9385,Shadow Vanguard Online,PS5,2009.0,Role-Playing,Devolver Digital,0.16,0.09,0.07,0.08,0.4,83.0,6.5
9386,Ancient Rebellion,Nintendo Switch,2012.0,Misc,Codemasters,0.16,0.05,0.03,0.06,0.3,73.0,9.3
9387,Sacred Kingdom: Remastered,Xbox 360,2019.0,Action,Paradox Interactive,0.02,0.01,0.01,0.0,0.03,54.0,4.5
9388,Iron Realm 3,PSP,2015.0,Shooter,Rockstar Games,0.01,0.01,0.01,0.02,0.05,82.0,6.9
9389,Rising Arena Reborn,DS,2026.0,Fighting,Ubisoft,0.07,0.07,0.03,0.08,0.25,75.0,7.6
9390,Phantom Empire: Gold Edition,PS4,2015.0,Action,Square Enix,0.09,0.07,0.01,0.03,0.2,70.0,5.9
9391,Shadow Reckoning: Remastered,Xbox Series X,2005.0,Action,Warner Bros. Interactive,0.01,0.0,0.0,0.0,0.01,,5.4
9392,Rising Covenant: Remastered,GameCube,2018.0,Role-Playing,Atari,0.09,0.07,0.05,0.07,0.28,44.0,8.2
9393,Silent Empire Reborn,Game Boy Advance,2006.0,Adventure,Microsoft Studios,0.0,0.0,0.0,0.01,0.01,68.0,10.0
9394,Savage Voyage IV,Xbox Series X,2010.0,Racing,Bethesda Softworks,0.01,0.0,0.0,0.0,0.01,76.0,6.1
9395,  GRAND LEGENDS  ,3DS,2016.0,Simulation,Bandai Namco,0.01,0.01,0.0,0.0,0.02,57.0,8.4
9396,Phantom Origins 2,Game Boy Advance,2001.0,Shooter,Ubisoft,0.05,0.03,0.01,0.0,0.09,44.0,6.3
9397,Neon Reckoning 2,Game Boy Advance,2013.0,Racing,Devolver Digital,0.17,0.13,0.02,0.15,0.47,99.0,6.5
9398,Eternal Covenant IV,Game Boy Advance,2006.0,Misc,505 Games,0.08,0.06,0.05,0.0,0.19,69.0,7.8
9399,Storm Voyage II,Xbox Series X,2002.0,Racing,Ubisoft,0.17,0.05,0.02,0.08,0.32,84.0,6.4
9400,Fallen Horizon 3,PS4,2015.0,Shooter,Electronic Arts,0.03,0.03,0.01,0.02,0.09,93.0,5.7
9401,Grand Crusade IV,3DS,2020.0,Fighting,Deep Silver,0.06,0.02,0.02,0.02,0.12,70.0,6.2
9402,Shadow Chronicles: Gold Edition,PS2,2015.0,Strategy,Team17,0.01,0.01,0.0,0.0,0.02,,7.2
9403,Phantom Legends: Redux,GameCube,2002.0,Sports,Bethesda Softworks,0.14,0.13,0.12,0.03,0.42,64.0,7.5
9404,Grand Requiem IV,Xbox Series X,2019.0,Sports,Bandai Namco,0.07,0.03,0.02,0.02,0.14,87.0,5.3
9405,Wild Sanctuary: Redux,Xbox One,2009.0,Racing,Rockstar Games,0.53,0.16,0.06,0.28,1.03,64.0,8.7
9406,Broken Rebellion 3,PS Vita,2011.0,Sports,Atari,0.1,0.08,0.02,0.11,0.31,,
9407,Radiant Requiem IV,PSP,2021.0,Strategy,Annapurna Interactive,0.34,0.25,0.12,0.11,0.82,52.0,5.6
9408,Iron Reckoning,PS4,2019.0,Simulation,Capcom,0.01,0.01,0.0,0.01,0.03,62.0,8.1
9409,Wild Origins Reborn,PS2,2023.0,Puzzle,Bandai Namco,0.38,0.2,0.12,0.08,0.78,67.0,7.5
9410,Phantom Nexus II,PS Vita,2007.0,Puzzle,Deep Silver,0.09,0.06,0.04,0.0,0.19,69.0,7.3
9411,Storm Crusade: Gold Edition,PS2,2010.0,Racing,Nintendo,0.04,0.03,0.01,0.04,0.12,87.0,4.3
9412,Iron Arena Online,PS Vita,2001.0,Adventure,Annapurna Interactive,0.07,0.07,0.02,0.07,0.23,,5.5
9413,Ancient Odyssey: Origins,3DS,2003.0,Adventure,Activision,0.03,0.02,0.01,0.02,0.08,74.0,7.5
9414,Sacred Voyage III,PS Vita,2003.0,Action,Deep Silver,0.03,0.02,0.0,0.01,0.06,80.0,
9415,Savage Voyage: Redux,Nintendo Switch,2018.0,Adventure,Nintendo,0.11,0.06,0.05,0.06,0.28,97.0,7.9
9416,Iron Syndicate IV,Xbox Series X,2025.0,Adventure,Focus Entertainment,0.18,0.1,0.07,0.07,0.42,,7.5
9417,Wild Warfare III,PS3,2010.0,Fighting,Team17,0.01,0.0,0.0,0.01,0.02,72.0,5.5
9418,Rogue Horizon,GameCube,2006.0,Fighting,Nintendo,0.13,0.15,0.11,0.11,0.5,62.0,9.8
9419,Fallen Origins II,PS3,2013.0,Strategy,Codemasters,0.11,0.04,0.01,0.06,0.22,66.0,
9420,Shadow Syndicate: Origins,GameCube,2004.0,Adventure,Sega,0.52,0.4,0.37,0.02,1.31,85.0,5.8
9421,Neon Blitz,PSP,2013.0,Strategy,Electronic Arts,0.28,0.17,0.02,0.49,0.96,58.0,8.0
9422,Iron Uprising Reborn,PSP,2014.0,Racing,Rockstar Games,0.02,0.01,0.0,0.01,0.04,,5.6
9423,Iron Arena II,PS3,2011.0,Sports,Tecmo Koei,0.15,0.08,0.03,0.03,0.29,64.0,7.5
9424,Twisted Voyage II,PS2,2004.0,Misc,2K Games,0.13,0.11,0.01,0.12,0.37,81.0,8.2
9425,Crimson Syndicate: Remastered,Nintendo Switch,2021.0,Simulation,Bethesda Softworks,0.03,0.01,0.02,0.02,0.08,81.0,
9426,Silent Blitz: Origins,GameCube,2026.0,Racing,Devolver Digital,0.03,0.01,0.01,0.02,0.07,,6.1
9427,Dark Arena 3,PC,2010.0,Strategy,Focus Entertainment,0.02,0.01,0.02,0.02,0.07,68.0,7.2
9428,  SACRED LEGION 3  ,Wii U,2015.0,Role-Playing,CD Projekt,0.15,0.12,0.02,0.07,0.36,81.0,7.1
9429,Radiant Legends: Remastered,PS2,2021.0,Simulation,THQ,0.03,0.02,0.01,0.03,0.09,59.0,7.7
9430,Wicked Realm: Remastered,Wii,2000.0,Adventure,,0.0,0.0,0.0,0.01,0.01,62.0,8.1
9431,Rising Blitz 3,PC,2003.0,Racing,Ubisoft,0.08,0.09,0.07,0.07,0.31,51.0,
9432,Frozen Paradox,Game Boy Advance,2001.0,Role-Playing,Sony Interactive Entertainment,0.02,0.02,0.01,0.03,0.08,62.0,5.8
9433,Wicked Genesis,PS4,2024.0,Misc,Focus Entertainment,0.01,0.01,0.0,0.02,0.04,,5.2
9434,Silent Origins IV,PS Vita,2020.0,Strategy,Sega,0.02,0.01,0.0,0.0,0.03,66.0,6.7
9435,Wild Horizon IV,PS2,2018.0,Strategy,Rockstar Games,0.02,0.02,0.02,0.01,0.07,65.0,7.2
9436,Broken Nexus II,Wii,2001.0,Puzzle,Microsoft Studios,0.02,0.02,0.01,0.02,0.07,,
9437,Twisted Realm,Xbox 360,2007.0,Action,2K Games,0.01,0.01,0.0,0.01,0.03,70.0,7.2
9438,Steel Nexus Online,Nintendo Switch,2006.0,Role-Playing,Capcom,0.02,0.02,0.02,0.02,0.08,62.0,
9439,Neon Horizon: Redux,PS5,2022.0,Platform,,0.01,0.0,0.0,0.01,0.02,85.0,6.3
9440,Phantom Covenant,Game Boy Advance,2021.0,Platform,THQ,0.04,0.02,0.02,0.0,0.08,,5.2
9441,Radiant Reckoning III,PS2,2001.0,Role-Playing,Ubisoft,0.05,0.04,0.01,0.04,0.14,77.0,7.7
9442,Crimson Vanguard III,Nintendo Switch,2009.0,Misc,Bandai Namco,0.03,0.02,0.01,0.01,0.07,82.0,5.7
9443,Grand Crusade IV,PS3,2017.0,Misc,Konami,0.02,0.01,0.0,0.02,0.05,67.0,6.4
9444,Rising Horizon: Remastered,PS4,2020.0,Adventure,Activision,0.15,0.07,0.05,0.03,0.3,73.0,2.7
9445,Fallen Crusade 3,3DS,2020.0,Strategy,THQ,0.15,0.06,0.04,0.03,0.28,71.0,6.3
9446,Crimson Blitz,GameCube,2018.0,Strategy,Focus Entertainment,0.03,0.02,0.01,0.03,0.09,75.0,4.9
9447,Wild Sanctuary,Wii,2012.0,Simulation,Annapurna Interactive,0.17,0.12,0.06,0.27,0.62,,8.9
9448,Broken Warfare IV,Xbox 360,2020.0,Shooter,Konami,0.04,0.03,0.02,0.0,0.08,57.0,6.7
9449,Phantom Vanguard: Redux,3DS,2016.0,Action,Rockstar Games,0.15,0.05,0.05,0.04,0.29,87.0,8.2
9450,Wild Legends Reborn,Xbox 360,,Sports,Sony Interactive Entertainment,0.13,0.09,0.07,0.02,0.31,,7.8
9451,Rogue Horizon: Remastered,PC,2004.0,Shooter,Paradox Interactive,0.05,0.04,0.01,0.05,0.15,56.0,8.4
9452,Radiant Warfare 2,Xbox 360,2017.0,Racing,Bethesda Softworks,0.08,0.05,0.01,0.05,0.19,89.0,7.3
9453,  GRAND REQUIEM II  ,PSP,2011.0,Strategy,Microsoft Studios,0.03,0.01,0.0,0.01,0.05,71.0,6.5
9454,Rogue Legion,Xbox One,2000.0,Sports,Ubisoft,0.05,0.03,0.0,0.03,0.11,75.0,7.4
9455,Fallen Paradox: Origins,PS Vita,2013.0,Action,Take-Two Interactive,0.03,0.03,0.01,0.03,0.1,60.0,8.1
9456,Golden Frontier 3,PS2,2010.0,Action,Bandai Namco,0.01,0.01,0.0,0.01,0.03,74.0,6.4
9457,Rogue Reckoning,GameCube,,Platform,CD Projekt,0.04,0.03,0.03,0.02,0.12,80.0,7.8
9458,Ancient Empire Reborn,PC,2022.0,Sports,Tecmo Koei,0.0,0.0,0.0,0.01,0.01,50.0,8.8
9459,Iron Horizon III,PS3,2003.0,Action,Microsoft Studios,0.07,0.06,0.07,0.07,0.27,,4.8
9460,Wild Sanctuary: Redux,DS,2016.0,Strategy,Square Enix,0.04,0.03,0.01,0.06,0.14,76.0,9.5
9461,Radiant Voyage Reborn,PSP,2021.0,Platform,Nintendo,0.1,0.05,0.04,0.0,0.19,84.0,6.8
9462,Phantom Covenant: Gold Edition,DS,2017.0,Adventure,Devolver Digital,0.1,0.06,0.01,0.05,0.22,60.0,7.0
9463,Hollow Rebellion III,Game Boy Advance,2000.0,Sports,505 Games,0.04,0.01,0.02,0.0,0.07,73.0,5.3
9464,Astral Blitz,PS2,2015.0,Platform,Sony Interactive Entertainment,0.04,0.03,0.03,0.04,0.14,79.0,
9465,Rogue Syndicate 2,PS3,2019.0,Fighting,Square Enix,0.32,0.16,0.14,0.13,0.75,67.0,7.9
9466,Final Empire: Gold Edition,Xbox Series X,2003.0,Puzzle,Sega,0.07,0.09,0.05,0.06,0.27,92.0,6.2
9467,Lost Chronicles,PS2,2007.0,Shooter,,0.13,0.09,0.02,0.18,0.42,86.0,9.0
9468,Storm Arena,Xbox 360,2022.0,Racing,Microsoft Studios,0.28,0.16,0.11,0.09,0.64,78.0,6.9
9469,Lost Sanctuary: Origins,PSP,2013.0,Sports,THQ,0.11,0.08,0.05,0.04,0.28,83.0,8.3
9470,Fallen Horizon III,ps4,2011.0,Role-Playing,Deep Silver,0.16,0.1,0.05,0.03,0.34,79.0,
9471,Grand Warfare II,PSP,2000.0,Sports,Atari,0.25,0.24,0.23,0.05,0.77,78.0,7.9
9472,Steel Nexus III,PC,2022.0,Misc,Tecmo Koei,0.02,0.02,0.01,0.0,0.05,,
9473,Ancient Uprising,PC,2026.0,Shooter,Codemasters,0.04,0.03,0.03,0.0,0.1,82.0,6.6
9474,Eternal Dominion: Redux,PC,2018.0,Strategy,505 Games,0.02,0.01,0.01,0.0,0.04,71.0,8.0
9475,Lost Horizon: Gold Edition,PC,2017.0,Simulation,Microsoft Studios,0.04,0.02,0.01,0.06,0.13,71.0,6.5
9476,Wicked Genesis Reborn,PSP,2022.0,Role-Playing,Nintendo,0.01,0.01,0.0,0.0,0.02,86.0,8.1
9477,  ASTRAL REALM III  ,Xbox One,2007.0,Strategy,CD Projekt,0.01,0.0,0.0,0.01,0.02,87.0,6.8
9478,Sacred Blitz: Remastered,PC,2024.0,Fighting,THQ,0.06,0.06,0.03,0.04,0.19,62.0,7.7
9479,Silent Syndicate: Remastered,3DS,2018.0,Fighting,2K Games,0.03,0.01,0.01,0.01,0.06,72.0,6.5
9480,Crimson Blitz Online,GameCube,2015.0,Role-Playing,Paradox Interactive,0.05,0.03,0.01,0.02,0.11,,6.1
9481,Lost Odyssey: Gold Edition,PS2,2021.0,Action,Bandai Namco,0.16,0.09,0.01,0.16,0.42,75.0,6.6
9482,Golden Genesis: Remastered,Game Boy Advance,2005.0,Misc,Warner Bros. Interactive,0.05,0.05,0.03,0.05,0.18,95.0,5.8
9483,Sacred Crusade II,Xbox One,2012.0,Puzzle,2K Games,0.02,0.01,0.01,0.01,0.05,69.0,7.5
9484,Shadow Syndicate IV,Wii,2003.0,Simulation,Team17,0.03,0.01,0.0,0.02,0.06,66.0,7.1
9485,Twisted Uprising Online,Nintendo Switch,2025.0,Strategy,Take-Two Interactive,0.07,0.03,0.01,0.03,0.14,62.0,
9486,Shadow Legends: Remastered,Nintendo Switch,2025.0,Puzzle,Devolver Digital,0.27,0.2,0.08,0.18,0.73,65.0,7.8
9487,Rogue Nexus Online,PSP,2022.0,Sports,Konami,0.02,0.01,0.0,0.01,0.04,67.0,10.0
9488,Lost Nexus,PSP,2002.0,Puzzle,Warner Bros. Interactive,0.19,0.14,0.05,0.07,0.45,,4.3
9489,Twisted Warfare: Redux,PS4,2026.0,Simulation,Epic Games,0.09,0.06,0.03,0.08,0.26,66.0,7.5
9490,Neon Realm: Origins,Game Boy Advance,2001.0,Adventure,Atari,0.01,0.01,0.0,0.01,0.03,81.0,
9491,Fallen Requiem: Redux,Xbox Series X,2009.0,Shooter,Focus Entertainment,0.04,0.03,0.01,0.01,0.09,62.0,4.8
9492,Rising Blitz Reborn,PS4,2024.0,Misc,Nintendo,0.08,0.06,0.05,0.06,0.25,82.0,8.6
9493,  FALLEN GENESIS REBORN  ,PS2,2025.0,Platform,Focus Entertainment,0.04,0.03,0.01,0.02,0.1,68.0,9.7
9494,Wild Chronicles,Xbox Series X,2000.0,Fighting,Square Enix,-0.08,0.03,0.03,0.06,0.2,61.0,7.8
9495,Ancient Genesis: Origins,Xbox 360,2003.0,Platform,NetherRealm Studios,0.16,0.09,0.02,0.03,0.3,74.0,8.4
9496,Rogue Horizon IV,Xbox 360,2003.0,Adventure,Team17,1.93,0.81,0.45,0.88,4.07,64.0,6.5
9497,Rogue Reckoning,Nintendo Switch,2020.0,Misc,505 Games,0.14,0.13,0.05,0.12,0.44,63.0,7.5
9498,Sacred Chronicles Online,PS3,2008.0,Strategy,Sega,0.05,0.03,0.03,0.0,0.1,66.0,7.5
9499,Broken Paradox II,PSP,2005.0,Sports,Codemasters,0.15,0.04,0.01,0.08,0.28,82.0,6.5
9500,Wild Chronicles: Origins,Xbox Series X,2019.0,Adventure,CD Projekt,0.11,0.09,0.06,0.06,0.32,54.0,8.7
9501,Shadow Realm IV,Xbox Series X,2002.0,Puzzle,Atari,0.07,0.03,0.04,0.03,0.17,69.0,7.4
9502,Twisted Empire 3,Xbox One,,Strategy,Take-Two Interactive,0.01,0.01,0.0,0.02,0.04,60.0,5.5
9503,Frozen Legion Online,Wii U,2025.0,Sports,Team17,0.03,0.02,0.01,0.0,0.06,72.0,5.5
9504,Ancient Chronicles,PS2,2015.0,Puzzle,Rockstar Games,0.08,0.08,0.06,0.06,0.28,57.0,6.9
9505,Hollow Frontier Reborn,Wii,2014.0,Misc,Sony Interactive Entertainment,0.04,0.02,0.02,0.0,0.08,69.0,6.6
9506,Steel Origins: Gold Edition,PS3,2000.0,Adventure,Paradox Interactive,0.35,0.23,0.1,0.02,0.7,,8.0
9507,Final Syndicate: Remastered,PS3,2022.0,Platform,Atari,0.03,0.02,0.02,0.01,0.08,61.0,8.2
9508,Twisted Blitz: Redux,PS Vita,2020.0,Strategy,Ubisoft,0.19,0.16,0.11,0.05,0.51,76.0,8.8
9509,Frozen Nexus: Gold Edition,Xbox 360,2017.0,Action,Electronic Arts,0.01,0.01,0.0,0.0,0.02,87.0,5.8
9510,  FINAL RECKONING ONLINE  ,GameCube,2008.0,Strategy,Team17,0.01,0.01,0.01,0.01,0.04,47.0,8.7
9511,Frozen Reckoning: Redux,PS5,2006.0,Misc,Team17,0.22,0.16,0.02,0.05,0.45,57.0,6.1
9512,Ancient Dominion IV,Xbox Series X,2009.0,Platform,Devolver Digital,0.04,0.02,0.02,0.01,0.09,,7.8
9513,Savage Legends: Gold Edition,PS3,2007.0,Puzzle,Team17,0.37,0.13,0.21,0.16,0.87,,5.8
9514,Crimson Syndicate 3,PS5,2000.0,Shooter,Take-Two Interactive,0.54,0.18,0.06,0.4,1.18,59.0,
9515,Wild Covenant: Remastered,PS5,,Misc,NetherRealm Studios,0.01,0.01,0.0,0.01,0.03,53.0,5.4
9516,Radiant Horizon: Remastered,Game Boy Advance,2005.0,Action,Annapurna Interactive,0.09,0.05,0.01,0.04,0.19,66.0,4.9
9517,Neon Sanctuary Online,Game Boy Advance,,Misc,THQ,0.06,0.03,0.02,0.01,0.12,84.0,8.8
9518,Shadow Genesis: Origins,PS5,2013.0,Puzzle,Take-Two Interactive,0.19,0.09,0.11,0.19,0.58,77.0,8.1
9519,Storm Voyage: Origins,PSP,2003.0,Fighting,Team17,0.01,0.0,0.0,0.0,0.01,48.0,7.4
9520,Wicked Legends Reborn,PS2,2012.0,Misc,Capcom,-0.22,0.15,0.13,0.1,0.6,99.0,5.4
9521,Golden Voyage: Remastered,PSP,,Puzzle,Focus Entertainment,0.02,0.01,0.01,0.0,0.04,69.0,7.4
9522,Phantom Paradox III,PS5,2017.0,Sports,505 Games,0.19,0.15,0.12,0.05,0.51,63.0,7.5
9523,Rising Genesis: Gold Edition,PS Vita,2003.0,Simulation,Sony Interactive Entertainment,0.32,0.19,0.17,0.03,0.71,55.0,6.1
9524,Astral Paradox II,PS2,2025.0,Sports,Paradox Interactive,0.16,0.13,0.02,0.29,0.6,40.0,8.1
9525,Grand Uprising,PS4,2006.0,Strategy,2K Games,0.03,0.02,0.02,0.02,0.09,,7.2
9526,Lost Origins: Origins,PS2,2026.0,Adventure,Devolver Digital,0.03,0.02,0.01,0.04,0.1,74.0,7.7
9527,Wild Empire IV,PS2,2016.0,Action,Atari,0.07,0.09,0.01,0.1,0.27,82.0,6.9
9528,Rogue Blitz Reborn,Xbox 360,2022.0,Sports,Square Enix,0.11,0.04,0.06,0.0,0.21,,6.0
9529,Neon Uprising,Xbox One,2019.0,Simulation,Sony Interactive Entertainment,0.01,0.01,0.01,0.0,0.03,65.0,10.0
9530,Lost Blitz: Redux,PSP,2020.0,Platform,Atari,0.35,0.33,0.13,0.18,0.99,78.0,6.4
9531,  STORM GENESIS IV  ,PC,2012.0,Adventure,Warner Bros. Interactive,0.97,0.43,0.53,0.0,1.92,60.0,6.5
9532,Wild Genesis,DS,,Shooter,Codemasters,0.04,0.02,0.01,0.04,0.11,,6.1
9533,Rogue Empire: Gold Edition,Xbox One,2007.0,Platform,Epic Games,0.08,0.08,0.01,0.06,0.23,68.0,7.4
9534,Final Reckoning Online,Xbox 360,2023.0,Racing,Electronic Arts,0.16,0.09,0.08,0.03,0.36,75.0,8.1
9535,Storm Rebellion Reborn,DS,2025.0,Simulation,CD Projekt,0.03,0.03,0.02,0.03,0.11,71.0,8.0
9536,Steel Sanctuary 2,PS Vita,2026.0,Sports,Warner Bros. Interactive,0.07,0.05,0.03,0.02,0.17,44.0,7.7
9537,Twisted Covenant: Gold Edition,xbox360,2026.0,Puzzle,2K Games,0.02,0.02,0.01,0.01,0.06,74.0,6.6
9538,Iron Horizon II,Nintendo Switch,2013.0,Adventure,Epic Games,0.06,0.06,0.04,0.01,0.17,83.0,6.3
9539,Astral Arena Online,PS3,2014.0,Shooter,Nintendo,0.04,0.05,0.04,0.02,0.15,68.0,5.9
9540,Radiant Horizon II,GameCube,2015.0,Adventure,Warner Bros. Interactive,0.01,0.01,0.01,0.0,0.02,74.0,5.7
9541,  SAVAGE COVENANT: REMASTERED  ,Xbox One,2008.0,Simulation,Paradox Interactive,0.41,0.27,0.1,0.21,0.99,67.0,6.5
9542,Hollow Empire,3DS,2005.0,Puzzle,Konami,0.04,0.02,0.02,0.04,0.12,58.0,6.3
9543,Rogue Requiem,DS,2010.0,Racing,Sony Interactive Entertainment,0.01,0.01,0.01,0.0,0.03,77.0,8.2
9544,Astral Chronicles,Nintendo Switch,2026.0,Adventure,Rockstar Games,0.0,0.0,0.0,0.01,0.01,,8.2
9545,Rogue Realm 3,PS2,2009.0,Role-Playing,Team17,0.02,0.01,0.01,0.0,0.04,86.0,4.8
9546,Silent Syndicate,Nintendo Switch,2011.0,Platform,Electronic Arts,0.04,0.03,0.03,0.02,0.12,85.0,6.1
9547,Broken Sanctuary III,Xbox One,,Fighting,Team17,0.01,0.0,0.0,0.01,0.02,,6.2
9548,Phantom Voyage IV,PS5,2008.0,Racing,Team17,0.09,0.06,0.02,0.11,0.28,61.0,8.6
9549,Final Legends Reborn,PS4,2025.0,Action,2K Games,0.02,0.01,0.0,0.01,0.04,75.0,8.0
9550,Sacred Rebellion: Redux,XBOX ONE,2014.0,Racing,Deep Silver,0.05,0.04,0.02,0.02,0.13,62.0,7.3
9551,Sacred Horizon 2,PS5,2014.0,Action,Sony Interactive Entertainment,0.02,0.01,0.01,0.0,0.04,70.0,4.9
9552,Storm Dominion IV,PS2,2017.0,Simulation,Atari,0.14,0.09,0.06,0.08,0.37,73.0,6.8
9553,  BROKEN SANCTUARY: GOLD EDITION  ,Xbox 360,2018.0,Fighting,Ubisoft,0.06,0.05,0.04,0.0,0.15,69.0,5.8
9554,  ASTRAL NEXUS 2  ,PS Vita,2026.0,Action,Konami,0.03,0.01,0.01,0.0,0.05,56.0,6.0
9555,Phantom Chronicles IV,PS3,2023.0,Simulation,Bandai Namco,0.03,0.01,0.01,0.01,0.06,73.0,4.6
9556,Phantom Horizon IV,PS2,2021.0,Shooter,Microsoft Studios,0.02,0.01,0.01,0.02,0.06,47.0,7.6
9557,Rogue Blitz: Remastered,Wii U,2019.0,Action,Epic Games,0.08,0.03,0.02,0.04,0.17,58.0,6.6
9558,Dark Empire,Xbox Series X,2011.0,Adventure,CD Projekt,0.02,0.02,0.01,0.04,0.09,99.0,6.5
9559,Final Nexus 3,Xbox 360,2002.0,Role-Playing,505 Games,0.23,0.11,0.06,0.11,0.51,,6.1
9560,Lost Covenant 2,PS2,2026.0,Platform,,0.01,0.01,0.0,0.0,0.02,45.0,
9561,Steel Legion IV,GameCube,2021.0,Action,Microsoft Studios,0.0,0.0,0.0,0.01,0.01,,6.2
9562,Golden Rebellion Reborn,PS3,2011.0,Racing,Take-Two Interactive,0.07,0.05,0.02,0.03,0.17,71.0,6.2
9563,Savage Voyage Online,3DS,2014.0,Platform,Atari,0.1,0.04,0.05,0.01,0.2,,7.8
9564,Steel Nexus Online,Wii,2026.0,Misc,Deep Silver,0.03,0.03,0.02,0.0,0.08,55.0,9.7
9565,Rising Syndicate: Origins,PS3,2007.0,Role-Playing,NetherRealm Studios,0.1,0.09,0.09,0.04,0.32,54.0,8.7
9566,Steel Syndicate 2,pc ,2019.0,Racing,Warner Bros. Interactive,0.02,0.01,0.01,0.01,0.05,67.0,7.5
9567,Rogue Blitz II,PSP,2002.0,Adventure,Codemasters,0.06,0.03,0.02,0.03,0.14,86.0,6.5
9568,Steel Rebellion,Nintendo Switch,2005.0,Sports,Capcom,0.01,0.01,0.0,0.0,0.02,,6.9
9569,Dark Odyssey,PS5,2003.0,Fighting,,0.18,0.12,0.13,0.13,0.56,71.0,6.6
9570,Astral Blitz II,PS Vita,2005.0,Shooter,Konami,0.09,0.04,0.03,0.03,0.19,53.0,7.8
9571,Phantom Origins Online,PS Vita,2015.0,Misc,Rockstar Games,0.03,0.03,0.03,0.03,0.12,78.0,7.7
9572,Wicked Sanctuary,3DS,2006.0,Sports,Sega,0.15,0.08,0.03,0.24,0.5,78.0,5.4
9573,Frozen Rebellion IV,Wii U,2021.0,Misc,Nintendo,0.01,0.01,0.0,0.02,0.04,55.0,6.3
9574,Iron Horizon: Redux,3DS,2002.0,Racing,505 Games,0.06,0.05,0.03,0.06,0.2,72.0,6.3
9575,Steel Reckoning Reborn,DS,2016.0,Shooter,Take-Two Interactive,0.1,0.07,0.06,0.06,0.29,54.0,7.1
9576,Steel Blitz IV,gamecube,2011.0,Action,Sony Interactive Entertainment,0.01,0.01,0.0,0.01,0.03,,7.1
9577,Broken Covenant,PS5,2003.0,Role-Playing,505 Games,0.04,0.02,0.03,0.05,0.14,,6.4
9578,Rogue Syndicate: Gold Edition,3DS,2024.0,Strategy,Ubisoft,0.1,0.05,0.06,0.01,0.22,79.0,7.8
9579,Rogue Realm: Remastered,Wii U,2017.0,Shooter,Team17,-0.07,0.04,0.05,0.03,0.19,79.0,7.1
9580,Fallen Nexus IV,PS5,2011.0,Role-Playing,Deep Silver,0.03,0.01,0.0,0.01,0.05,48.0,6.7
9581,Eternal Horizon II,DS,2011.0,Puzzle,2K Games,0.04,0.03,0.01,0.0,0.08,88.0,7.3
9582,Iron Legion,3DS,2017.0,Strategy,CD Projekt,0.02,0.02,0.01,0.02,0.07,60.0,7.9
9583,Ancient Odyssey III,PS2,2007.0,Puzzle,Epic Games,0.0,0.0,0.0,0.01,0.01,75.0,8.0
9584,Wicked Arena: Gold Edition,Wii U,2008.0,Role-Playing,Warner Bros. Interactive,0.05,0.02,0.01,0.03,0.11,,
9585,Neon Dominion Reborn,Wii U,2011.0,Adventure,Team17,0.02,0.01,0.01,0.0,0.04,56.0,5.6
9586,Phantom Horizon Reborn,PSP,2001.0,Strategy,505 Games,0.02,0.01,0.0,0.0,0.03,67.0,4.1
9587,Lost Arena Online,Game Boy Advance,2018.0,Simulation,Rockstar Games,0.1,0.07,0.03,0.01,0.21,71.0,6.2
9588,Storm Nexus,DS,2021.0,Strategy,Epic Games,0.23,0.18,0.08,0.03,0.52,36.0,
9589,Grand Realm: Origins,Nintendo Switch,2006.0,Simulation,Devolver Digital,0.02,0.01,0.01,0.01,0.05,65.0,8.1
9590,Hollow Chronicles IV,DS,2015.0,Role-Playing,Electronic Arts,0.04,0.01,0.01,0.02,0.08,76.0,7.9
9591,Eternal Empire Reborn,Xbox One,2026.0,Shooter,Microsoft Studios,0.56,0.69,0.48,0.39,2.12,,10.0
9592,Frozen Uprising III,PSP,2026.0,Racing,Microsoft Studios,0.03,0.01,0.01,0.02,0.07,64.0,6.1
9593,Astral Origins Reborn,PSP,2016.0,Role-Playing,Bethesda Softworks,0.04,0.02,0.03,0.03,0.12,77.0,7.1
9594,Sacred Horizon,Xbox Series X,2012.0,Fighting,,0.94,0.65,0.33,0.18,2.1,67.0,8.8
9595,Shadow Warfare Reborn,Xbox Series X,2004.0,Sports,Capcom,0.18,0.11,0.06,0.07,0.42,,5.6
9596,Phantom Odyssey III,Xbox 360,2005.0,Platform,2K Games,0.01,0.01,0.01,0.02,0.05,72.0,4.5
9597,Grand Legends IV,DS,2016.0,Action,Bandai Namco,0.05,0.03,0.0,0.03,0.11,59.0,6.2
9598,  FALLEN ODYSSEY: ORIGINS  ,PS4,2010.0,Platform,Focus Entertainment,0.04,0.04,0.01,0.03,0.12,87.0,4.9
9599,Fallen Crusade Reborn,PS Vita,2000.0,Racing,Annapurna Interactive,0.44,0.24,0.17,0.02,0.87,71.0,6.0
9600,Radiant Syndicate: Origins,Xbox 360,2019.0,Misc,Paradox Interactive,0.01,0.01,0.0,0.0,0.02,56.0,5.5
9601,Final Sanctuary III,Game Boy Advance,2010.0,Action,Tecmo Koei,0.11,0.07,0.06,0.0,0.24,52.0,7.7
